,Cu,Ga,Ge,Hg,Te,dft_Cu,dft_Ga,dft_Ge,dft_Hg,dft_Te,enthalpy,formula_units,mu0,total_energy
Cu,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,-3.646285475,-14.5851419
Cu2HgGeTe4,2.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,4.0,-1.8901886900000004,1.0,-30.63147155,-30.63147155
CuGaTe2,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,-1.7144721600000006,2.0,-16.642806645,-33.28561329
CuTe,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,-0.321140835,2.0,-7.9393102,-15.8786204
Ga,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,-3.33828123,-13.35312492
Ga2Te5,0.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,5.0,-2.161730779999999,1.0,-28.69771269,-28.69771269
Ge,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,-5.36083702,-10.72167404
GeTe,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,-0.10600591000000037,3.0,-9.438726820000001,-28.31618046
Hg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,-0.20033933,-0.40067866
Hg2GeTe4,0.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,-1.4096591999999974,1.0,-23.05871044,-23.05871044
HgTe,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.5906487699999994,1.0,-4.76287199,-4.76287199
Te,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,-3.9718838900000004,-11.91565167
